iter	Passed	Remaining
0	1	114
1	2	106
2	3	101
3	3	93
4	5	95
5	6	94
6	7	94
7	8	94
8	9	93
9	10	92
10	11	92
11	12	91
12	13	89
13	14	88
14	15	86
15	16	84
16	17	83
17	18	82
18	19	82
19	20	81
20	21	80
21	22	79
22	23	78
23	24	76
24	25	75
25	26	74
26	27	73
27	28	72
28	29	71
29	30	70
30	31	69
31	32	68
32	33	67
33	34	66
34	35	65
35	36	64
36	37	63
37	38	62
38	39	61
39	40	60
40	41	59
41	41	57
42	42	56
43	43	55
44	44	54
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	50	48
51	51	47
52	52	46
53	53	45
54	54	44
55	54	43
56	55	42
57	56	41
58	57	40
59	58	39
60	59	38
61	60	37
62	61	36
63	62	35
64	63	34
65	64	33
66	65	32
67	66	31
68	67	30
69	68	29
70	69	28
71	70	27
72	71	26
73	72	25
74	73	24
75	74	23
76	75	22
77	76	21
78	77	20
79	78	19
80	78	18
81	80	17
82	81	16
83	82	15
84	83	14
85	84	13
86	85	12
87	86	11
88	87	10
89	88	9
90	89	8
91	90	7
92	91	6
93	92	5
94	92	4
95	93	3
96	94	2
97	95	1
98	96	0
99	97	0
